| Series   |   Mass |   Trise |   kpush | EOS   |   EOS int |     xi175 |    xi200 |   Outcome |   M_rem |   M_collapse |   M_Fe |   M_CO |   M_He |    M_H |      E_exp | t_exp            | machine   | working_dir                                                                                              | target_dir                                                                                               |
| s        |   13.8 |     0.4 |  4.189  | DD2   |         0 |  0.431117 | 0.201129 |         0 | 1.48022 |       11.848 |  1.425 |  2.568 |  3.716 |  8.132 |  1.25438   | 0.40463777229468 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s13.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s13.8_trise400_k4.3                                           |
| s        |   14   |     0.4 |  4.252  | DD2   |         0 |  0.475234 | 0.221382 |         0 | 1.49561 |       11.966 |  1.437 |  2.621 |  3.783 |  8.184 |  1.33891   | 0.39912778747772 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.0_trise400_k4.3                                           |
| s        |   14.2 |     0.4 |  4.298  | DD2   |         0 |  0.516184 | 0.243757 |         0 | 1.50694 |       12.082 |  1.497 |  2.678 |  3.857 |  8.225 |  1.40432   | 0.39543467986137 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.2_trise400_k4.3                                           |
| s        |   14.4 |     0.4 |  4.313  | DD2   |         0 |  0.533758 | 0.256012 |         0 | 1.515   |       12.232 |  1.503 |  2.741 |  3.923 |  8.31  |  1.45366   | 0.39775645126831 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.4_trise400_k4.3                                           |
| s        |   14.6 |     0.4 |  4.312  | DD2   |         0 |  0.527058 | 0.255407 |         0 | 1.51581 |       12.376 |  1.546 |  2.806 |  3.989 |  8.387 |  1.43897   | 0.40319600378992 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.6_trise400_k4.3                                           |
| s        |   14.8 |     0.4 |  4.321  | DD2   |         0 |  0.543192 | 0.269402 |         0 | 1.52467 |       12.488 |  1.541 |  2.889 |  4.064 |  8.424 |  1.48337   | 0.41754720717935 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s14.8_trise400_k4.3                                           |
| s        |   15   |     0.4 |  4.321  | DD2   |         0 |  0.567518 | 0.281197 |         0 | 1.53273 |       12.642 |  1.554 |  2.937 |  4.127 |  8.515 |  1.52799   | 0.40674093440871 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.0_trise400_k4.3                                           |
| s        |   15.2 |     0.4 |  4.311  | DD2   |         0 |  0.563901 | 0.296777 |         0 | 1.52145 |       12.722 |  1.408 |  3.003 |  4.207 |  8.514 |  1.61403   | 0.43298857998145 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.2_trise400_k4.3                                           |
| s        |   15.4 |     0.4 |  4.26   | DD2   |         0 |  0.58113  | 0.326616 |         0 | 1.52789 |       12.883 |  1.344 |  3.077 |  4.278 |  8.606 |  1.68531   | 0.43669185238454 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.4_trise400_k4.3                                           |
| s        |   15.6 |     0.4 |  4.313  | DD2   |         0 |  0.461143 | 0.29549  |         0 | 1.44933 |       13.009 |  1.353 |  3.134 |  4.35  |  8.659 |  1.48984   | 0.44324602598221 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.6_trise400_k4.3                                           |
| s        |   15.8 |     0.4 |  4.304  | DD2   |         0 |  0.380557 | 0.247848 |         0 | 1.40679 |       13.108 |  1.351 |  3.208 |  4.42  |  8.688 |  1.29412   | 0.41837328210159 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s15.8_trise400_k4.3                                           |
| s        |   16   |     0.4 |  4.279  | DD2   |         0 |  0.342311 | 0.232932 |         0 | 1.39447 |       13.245 |  1.361 |  3.294 |  4.491 |  8.754 |  1.23652   | 0.39980805376832 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.0_trise400_k4.3                                           |
| s        |   16.2 |     0.4 |  4.313  | DD2   |         0 |  0.378451 | 0.255871 |         0 | 1.40515 |       13.419 |  1.363 |  3.358 |  4.561 |  8.858 |  1.2846    | 0.40654589337440 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.2_trise400_k4.3                                           |
| s        |   16.4 |     0.4 |  4.272  | DD2   |         0 |  0.343882 | 0.229868 |         0 | 1.39693 |       13.534 |  1.382 |  3.44  |  4.636 |  8.897 |  1.21233   | 0.38130116463057 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.4_trise400_k4.3                                           |
| s        |   16.6 |     0.4 |  4.291  | DD2   |         0 |  0.343141 | 0.239475 |         0 | 1.39693 |       13.717 |  1.389 |  3.504 |  4.715 |  9.002 |  1.22953   | 0.37237578156723 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.6_trise400_k4.3                                           |
| s        |   16.8 |     0.4 |  4.271  | DD2   |         0 |  0.346873 | 0.229265 |         0 | 1.39611 |       13.833 |  1.401 |  3.579 |  4.785 |  9.048 |  1.22241   | 0.36386643317594 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s16.8_trise400_k4.3                                           |
| s        |   17   |     0.4 |  4.29   | DD2   |         0 |  0.344955 | 0.239148 |         0 | 1.39858 |       13.838 |  1.404 |  3.626 |  4.864 |  8.974 |  1.23139   | 0.36275123487225 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.0_trise400_k4.3                                           |
| s        |   17.2 |     0.4 |  4.286  | DD2   |         0 |  0.363553 | 0.236758 |         0 | 1.40843 |       14.075 |  1.418 |  3.721 |  4.936 |  9.139 |  1.24362   | 0.35264982507208 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.2_trise400_k4.3                                           |
| s        |   17.4 |     0.4 |  4.287  | DD2   |         0 |  0.346054 | 0.237391 |         0 | 1.40269 |       14.213 |  1.408 |  3.79  |  5.014 |  9.198 |  1.23494   | 0.34425323569596 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.4_trise400_k4.3                                           |
| s        |   17.6 |     0.4 |  4.289  | DD2   |         0 |  0.3708   | 0.238404 |         0 | 1.41991 |       14.346 |  1.422 |  3.836 |  5.084 |  9.262 |  1.25449   | 0.33347020509770 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.6_trise400_k4.3                                           |
| s        |   17.8 |     0.4 |  4.214  | DD2   |         0 |  0.557366 | 0.342558 |         0 | 1.50936 |       14.458 |  1.411 |  3.927 |  5.163 |  9.295 |  1.6       | 0.44429431295292 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s17.8_trise400_k4.3                                           |
| s        |   18   |     0.4 |  4.288  | DD2   |         0 |  0.478298 | 0.313444 |         0 | 1.46153 |       14.502 |  1.391 |  4.015 |  5.249 |  9.253 |  1.45228   | 0.43726553645741 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.0_trise400_k4.3                                           |
| s        |   18.2 |     0.4 |  4.302  | DD2   |         0 |  0.369843 | 0.246814 |         0 | 1.40843 |       14.582 |  1.406 |  4.102 |  5.327 |  9.254 |  1.24154   | 0.39093586783648 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.2_trise400_k4.3                                           |
| s        |   18.4 |     0.4 |  4.16   | DD2   |         0 |  0.738569 | 0.357686 |         0 | 1.59433 |       14.826 |  1.498 |  4.155 |  5.384 |  9.442 |  1.5834    | 0.42432703702989 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.4_trise400_k4.3                                           |
| s        |   18.6 |     0.4 |  4.301  | DD2   |         0 |  0.35816  | 0.245833 |         0 | 1.41335 |       14.853 |  1.414 |  4.244 |  5.467 |  9.386 |  1.22338   | 0.35588433323660 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.6_trise400_k4.3                                           |
| s        |   18.8 |     0.4 |  4.3    | DD2   |         0 |  0.355055 | 0.245198 |         0 | 1.40269 |       15.048 |  1.406 |  4.302 |  5.54  |  9.508 |  1.20094   | 0.36415201687318 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s18.8_trise400_k4.3                                           |
