EOS int,Mass,M_rem,Outcome Mass Cut
1,31.0,1.4111,0
1,32.0,1.48638,0
1,33.0,1.53255,0
1,11.0,1.34678,0
1,12.0,1.3943,0
1,13.0,1.48008,0
1,14.0,1.46352,0
1,15.0,1.48245,0
1,16.0,1.54576,0
1,35.0,13.601,1
1,37.0,13.623,1
1,38.0,15.162,1
1,40.0,16.517,1
2,39.0,1.82993,0
2,13.0,1.33806,0
2,14.0,1.47266,0
2,15.0,1.50501,0
2,27.0,1.48372,0
2,26.0,1.70598,0
2,28.0,1.4774,0
2,30.0,1.49873,0
2,17.0,1.36152,0
2,13.0,1.48293,0
2,17.0,1.38171,0
2,30.0,1.71424,0
2,27.0,1.65063,0
3,21.0,1.38046,0
4,33.0,1.56493,0
4,25.0,1.78998,0
5,34.0,1.61402,0
5,27.0,1.57064,0
4,32.0,1.51656,0
4,28.0,1.72125,0
3,20.0,1.64805,0
5,35.0,1.52533,0
3,32.0,1.61406,0
4,24.0,7.783,1
5,12.0,1.29013,0
4,27.0,1.51245,0
3,22.0,1.66766,0
5,21.0,1.37414,0
4,19.0,1.44374,0
5,15.0,1.35555,0
5,20.0,1.45138,0
5,31.0,1.43381,0
4,30.0,1.76719,0
3,18.0,1.59265,0
5,29.0,1.45639,0
4,26.0,1.69736,0
5,30.0,1.53193,0
4,37.0,1.63475,0
5,37.0,1.63278,0
5,16.0,1.36484,0
5,28.0,1.50381,0
4,25.0,1.66131,0
5,32.0,1.51623,0
5,30.0,1.79999,0
3,17.0,1.40925,0
4,28.0,1.50421,0
4,16.0,1.58694,0
5,17.0,1.57803,0
4,30.0,1.53137,0
4,27.0,1.69018,0
5,19.0,1.45723,0
4,24.0,1.80489,0
5,33.0,1.56572,0
5,23.0,1.53111,0
4,20.0,1.75535,0
4,26.0,1.75692,0
4,29.0,1.45704,0
1,39.0,15.002,1
1,40.0,15.291,1
1,38.0,14.473,1
2,39.0,15.002,1
2,38.0,14.473,1
2,40.0,15.291,1
2,37.0,13.893,1
3,26.0,1.68413,0
3,35.0,12.561,1
3,33.0,1.67393,0
3,39.0,16.022,1
3,28.0,1.71374,0
3,32.0,11.591,1
3,29.0,10.793,1
3,17.0,1.37385,0
3,23.0,7.256,1
3,40.0,16.517,1
3,25.0,1.854,0
3,33.0,12.294,1
3,31.0,11.394,1
3,20.0,1.77704,0
3,40.0,14.682,1
3,31.0,1.5423,0
3,38.0,15.162,1
3,27.0,1.889,0
4,35.0,13.181,1
4,36.0,13.883,1
4,39.0,15.002,1
4,34.0,12.453,1
4,38.0,14.473,1
4,37.0,13.893,1
4,40.0,15.291,1
5,38.0,14.473,1
5,39.0,15.002,1
5,40.0,15.291,1
5,35.0,13.181,1
5,37.0,13.893,1
5,36.0,13.883,1
5,34.0,12.453,1
1,11.0,1.27754,0
1,13.0,1.33867,0
1,14.0,1.47064,0
1,15.0,1.50128,0
1,16.0,1.37261,0
1,17.0,1.38066,0
1,18.0,1.43023,0
1,19.0,1.54576,0
1,21.0,1.57668,0
1,22.0,1.40791,0
1,13.0,1.42784,0
1,14.0,1.48402,0
1,15.0,1.48166,0
1,16.0,1.36455,0
1,17.0,1.3951,0
1,18.0,1.55352,0
1,19.0,1.47064,0
1,20.0,1.61431,0
1,21.0,1.36374,0
1,22.0,1.62953,0
1,25.0,1.67423,0
1,26.0,1.52788,0
1,27.0,1.53799,0
1,28.0,1.50754,0
1,29.0,1.47615,0
1,30.0,1.5411,0
1,31.0,1.51693,0
1,32.0,1.579,0
1,12.0,1.27426,0
1,14.0,1.41987,0
1,16.0,1.34678,0
1,17.0,1.53721,0
1,19.0,1.4342,0
1,20.0,1.42784,0
1,21.0,1.35486,0
1,23.0,1.5005,0
1,27.0,1.53799,0
1,28.0,1.50832,0
1,29.0,1.48875,0
1,31.0,1.67273,0
2,36.0,1.51051,0
2,31.0,1.6803,0
2,22.0,1.63536,0
2,28.0,1.51444,0
2,12.0,1.321,0
2,32.0,1.58148,0
2,14.0,1.48767,0
2,17.0,1.39457,0
2,19.0,1.47108,0
2,34.0,1.57761,0
2,40.0,1.6,0
2,33.0,1.534,0
2,30.0,1.54337,0
2,11.0,1.27688,0
2,25.0,1.68181,0
2,33.0,1.63153,0
2,16.0,1.36475,0
2,12.0,1.39617,0
2,29.0,1.4774,0
2,37.0,1.59151,0
2,18.0,1.55898,0
2,15.0,1.48688,0
2,35.0,1.49557,0
2,11.0,1.3494,0
3,13.0,1.45094,0
3,36.0,1.53348,0
4,32.0,1.61614,0
4,31.0,1.54938,0
4,25.0,1.7284,0
5,28.0,1.54677,0
5,16.0,1.58869,0
3,19.0,1.45013,0
3,37.0,1.63227,0
5,31.0,1.55006,0
5,22.0,1.4313,0
5,26.0,1.70162,0
4,28.0,1.54938,0
4,14.0,1.49925,0
3,20.0,1.44606,0
5,26.0,1.75219,0
3,15.0,1.51819,0
3,31.0,1.73932,0
3,14.0,1.43952,0
5,17.0,1.40279,0
4,22.0,1.4329,0
5,19.0,1.5895,0
5,19.0,1.44387,0
4,21.0,1.3886,0
3,11.0,1.28665,0
5,27.0,1.51292,0
5,12.0,1.33947,0
5,24.0,1.79044,0
5,27.0,1.68952,0
5,11.0,1.37076,0
3,21.0,1.3689,0
3,29.0,1.51255,0
3,32.0,1.50933,0
3,23.0,1.52303,0
5,20.0,1.77214,0
4,20.0,1.65649,0
5,25.0,1.72492,0
5,14.0,1.49882,0
4,22.0,1.66853,0
5,18.0,1.4614,0
5,21.0,1.62219,0
3,31.0,1.42806,0
4,27.0,1.56983,0
3,19.0,1.58868,0
4,13.0,1.51327,0
5,13.0,1.51375,0
4,30.0,1.57716,0
4,12.0,1.42122,0
5,12.0,1.42124,0
3,13.0,1.35238,0
3,22.0,1.4891,0
4,18.0,1.59587,0
3,15.0,1.35321,0
5,14.0,1.50298,0
5,27.0,1.57064,0
5,16.0,1.39859,0
5,25.0,1.66362,0
3,27.0,1.50287,0
5,32.0,1.61892,0
5,30.0,1.57721,0
3,40.0,1.62517,0
