EOS,KL_CI_L,KL_CI_U,TV_CI_L,TV_CI_U,KL_MEAN,TV_MEAN
0,0.02336102,0.12416187,0.0729608,0.16990841,0.0664570401073125,0.124982521506567
1,0.01644212,0.15127418,0.06347996,0.19263622,0.0705052835357861,0.132698485726913
2,0.01865702,0.17975676,0.06881405,0.20982682,0.0819307157213865,0.143486633050344
3,0.01017334,0.10966709,0.04081185,0.16641397,0.0435585512197268,0.104940040616453
4,0.00214488,0.07340546,0.0182816,0.13629081,0.0177628835981644,0.0684414259638113
5,0.00217167,0.08468111,0.01866523,0.14658503,0.0248002052638491,0.0801935715103131
